rvote	stt	eth	inc	age	sex	edu	mar	kid
0	26	2	3	1	2	3	1	1
1	33	1	2	4	1	3	2	2
NA	33	1	1	1	1	1	1	1
1	33	1	2	4	2	2	2	2
1	33	1	2	4	2	3	2	2
1	33	1	2	3	1	3	1	2
1	33	1	3	2	1	2	2	2
1	33	3	2	1	2	5	1	1
1	33	1	NA	2	2	3	1	1
0	17	1	NA	3	2	3	2	2
1	17	1	4	3	1	3	1	2
0	17	1	4	2	2	4	1	1
1	17	1	3	2	1	3	1	1
0	17	1	1	3	2	2	1	2
0	17	1	3	3	1	2	1	2
0	17	1	3	2	2	3	1	1
NA	15	1	3	1	2	4	1	2
1	15	1	5	3	1	5	1	2
1	15	1	3	3	1	4	1	2
1	15	1	3	3	2	2	1	1
1	15	1	3	2	1	5	1	1
1	15	2	3	2	1	3	2	2
NA	15	2	NA	2	2	3	2	NA
NA	19	1	2	3	1	3	2	2
1	19	1	2	3	2	1	1	2
1	19	1	NA	4	2	4	1	2
0	19	2	2	2	1	2	1	1
1	19	1	3	3	1	5	1	2
1	19	1	4	3	1	4	1	1
